,Operating Name,Issued,year,postal,area
77922,LAS PALMAS,05-02-08,2008,M3L1A5,M3L
77923,FIT FOR LIFE,05-02-08,2008,M4W3E2,M4W
77924,SECOND CUP,25-10-11,2011,M5P2W3,M5P
77925,DOMINO'S PIZZA,10-02-05,2005,M1G1R2,M1G
77926,OASIS CAFE' AND RESTAURANT,01-10-09,2009,M1R2Y8,M1R
77927,SUN LIGHT GRILL,21-06-10,2010,M6R2N1,M6R
77928,JADE EXPRESS,12-04-11,2011,M1V5P6,M1V
77929,THAI CHILI,20-09-11,2011,M1E2M9,M1E
77930,THE BEAUTIFUL CITY RESTAURANT,14-01-10,2010,M6B3S3,M6B
77931,NICHE,07-02-11,2011,M5E1Z8,M5E
77932,ASMARA SPORT BAR AND GRILL,26-10-11,2011,M4J1M6,M4J
77933,ANOUSH,29-12-11,2011,M2M3W2,M2M
77934,SUPER BURGER,05-05-04,2004,M8W1N1,M8W
77935,POPEYES CHICKEN AND BISCUITS,24-02-09,2009,M1M1R4,M1M
77936,COZZY CORNER,19-03-09,2009,M2N5M1,M2N
77937,NO 1 HALAL PIZZA AND CHIPS,19-08-09,2009,M9N1Z8,M9N
77938,THAI FRESH,08-10-09,2009,M5V3B7,M5V
77939,1 PLUS 1 PIZZA AND WINGS,06/03/00,2000,M6E2W1,M6E
77940,MAMMA'S PIZZA,25-03-04,2004,M4E1E2,M4E
77941,PALLUCCI,26-03-01,2001,M4S2M4,M4S
77942,BRISCOLA,24-08-09,2009,M6G1A5,M6G
77943,JASPER'S 1,09-02-10,2010,M2H3N5,M2H
77944,TAJIKISTAN,09-02-11,2011,M3J3K3,M3J
77945,3 MAINSHA RESTAURANT,24-01-07,2007,M6A2T4,M6A
77946,POURHOUSE IRISH PUB,11-02-03,2003,M5R2E6,M5R
77947,TAI PAN TAKEOUT,11-02-09,2009,M4R1B1,M4R
77948,MR.SUB,12-02-10,2010,M9W5L7,M9W
77949,LAHORI BHAIL,12-02-10,2010,M4L1Z7,M4L
77950,MR.SUBMARINE,12-02-10,2010,M1R2Y8,M1R
77951,THE COBOURG,12-06-06,2006,M4X1P3,M4X
77952,LUPO RISTORANTE,14-01-08,2008,M9L2J5,M9L
77953,SUBWAY,13-02-08,2008,M8Z1T5,M8Z
77954,SMILIN'JACK'S BAR&GRILL,13-02-08,2008,M1H3E5,M1H
77955,LE RESTAURANT,17-03-10,2010,M6G2T9,M6G
77956,YUMMY FOOD & BUBBLE TEA,22-06-11,2011,M4L3A7,M4L
77957,ALUMNI CAFE,25-03-03,2003,M5G1V7,M5G
77958,ZYKA FINE FOODS & BBQ,11-01-08,2008,M1W2H5,M1W
77959,FESTIFLOR CATERING,26-03-08,2008,M6N1R1,M6N
77960,THE GRILLED CHEESE COMPANY INC,14-02-11,2011,M5T1M5,M5T
77961,FRESHSLICE,14-02-11,2011,M2M3X4,M2M
77962,QUIZNO'S,14-02-11,2011,M4T2T5,M4T
77963,JUBA RESTAURANT,28-04-11,2011,M5A3A4,M5A
77964,JUICE DEPARTMENT,13-06-11,2011,M5T3K7,M5T
77965,CEYLON CATERING & TAKE OUT,16-09-05,2005,M1V3Z6,M1V
77966,MOLLY BLOOM'S IRISH PUB,30-10-08,2008,M5T1P9,M5T
77967,SUNSHINE CARIBBEAN RESTAURANT,30-12-09,2009,M4J1L8,M4J
77968,BALKAN PIE,15-02-10,2010,M4K3V1,M4K
77969,FOK YUAN SEAFOOD RESTAURANT,10-04-10,2010,M1V5L6,M1V
77970,GROUND LEVEL CAFE,15-02-11,2011,M6K1M4,M6K
77971,B ESPRESSO BAR,13-06-11,2011,M5B2G8,M5B
77972,DINE KEE CHINESE RESTAURANT,06-03-09,2009,M1V5K5,M1V
77973,MAYETTES FAMOUS CUISINE,16-02-10,2010,M1L1C5,M1L
77974,ABSTRACT TREE,13-06-11,2011,M6R2L2,M6R
77975,BANH CUON PHO GA,16-06-11,2011,M6N1J3,M6N
77976,TWIST & SHAKE JUICE BAR,17-02-10,2010,M5E1A9,M5E
77977,SMOKEY'S GRILLED SUBS,17-02-11,2011,M6S4A5,M6S
77978,ING'S THAI BOWL,18-02-05,2005,M5V3C7,M5V
77979,NAM MAY BBQ,18-02-11,2011,M1S5H9,M1S
77980,MIKE BRADY'S PUB,19-02-10,2010,M1K1C6,M1K
77981,FRESH BUNS AND BREADS,20/02/96,1996,M1M1T9,M1M
77982,ARBY'S,20/02/98,1998,M6A2T9,M6A
77983,BAIRRADA CHURRASQUEIRA GRILL,23/02/00,2000,M6H1A7,M6H
77984,DEBUT CAFE & BAR,20-02-03,2003,M5H3T9,M5H
77985,LEENAMJANG,01-03-07,2007,M2N5N2,M2N
77986,ARABESQUE MIDDLE EASTERN FOODS,29-03-07,2007,M6H1A9,M6H
77987,,27-03-08,2008,M5E1J1,M5E
77988,AL MADINAH SHAWARMA AND SWEET,20-02-09,2009,M9W1N7,M9W
77989,HWARANG,29-09-11,2011,M4Y1Z9,M4Y
77990,BOMBAY HUT,06-10-11,2011,M5M4A2,M5M
77991,WAITING ROOM COFFEE SHOP,21-02-01,2001,M2J2K9,M2J
77992,,21-02-02,2002,M3C1L9,M3C
77993,PIZZAVILLE,21-02-05,2005,M5V1X1,M5V
77994,MARIKO JAPANESE RESTAURANT,21-02-06,2006,M4K1N7,M4K
77995,DRUXY'S,01-08-06,2006,M5B1S9,M5B
77996,T A N COFFEE,01-04-08,2008,M6J1H1,M6J
77997,PHO NGON,04-08-10,2010,M6E2H6,M6E
77998,T A N COFFEE,15-03-11,2011,M5T1L1,M5T
77999,SOLIN COFFEE AND TEA COMPANY,25-05-11,2011,M3L1B2,M3L
78000,COLBORNE LANE,27-05-08,2008,M5E1E3,M5E
78001,NGOMA RESTO LOUNGE,22-02-10,2010,M5T1T3,M5T
78002,GHANA GUINEA MALI,22-02-11,2011,M9M2G1,M9M
78003,SHAM SHAWARMA,22-02-11,2011,M6P3S5,M6P
78004,GALAZY DE BLUE NOTE LOUNGE,15-03-11,2011,M9N2S3,M9N
78005,,07-06-01,2001,M3C2C3,M3C
78006,LOCAL 4 RELAX STATION,19-06-09,2009,M4Y1K2,M4Y
78007,,07-10-09,2009,M6H1A3,M6H
78008,CEO KTV,01-06-10,2010,M1S2C1,M1S
78009,FRESHSLICE,03-11-10,2010,M6G1B5,M6G
78010,FRESHSLICE,03-11-10,2010,M4Y1Z8,M4Y
78011,TASTE OF AFGHANISTAN,23-02-11,2011,M1L3G7,M1L
78012,FRESHSLICE,28-11-11,2011,M6A1B6,M6A
78013,CHARLEY'S STEAKERY,24-02-06,2006,M9W6K5,M9W
78014,TONY'S SNACK BAR,26/02/92,1992,M6A2V1,M6A
78015,CHINA GOURMET,24-05-07,2007,M5A2L2,M5A
78016,NEA GO HYANG KOREAN RESTAURANT,21-01-08,2008,M2N5S2,M2N
78017,PIZZAIOLO,26-02-10,2010,M5C2V6,M5C
78018,RESTAURANT JULES TARTERIE,25/04/00,2000,M5V2L7,M5V
78019,BATIFOLE RESTAURANT,02-04-04,2004,M4M1Y3,M4M
78020,100 HUMBER COLLEGE CAFE,18-08-09,2009,M9V5G4,M9V
78021,BLUE BAR AND GRILL RESTAURANT,01-06-10,2010,M6E2H1,M6E
78022,HOORAIYA JAPANESE RESTAURANT,01-04-11,2011,M2N5P1,M2N
78023,CARIBBEAN QUEEN OF PATTIES,01-09-04,2004,M6H1N7,M6H
78024,MY BAR & RESTAURANT,01-04-09,2009,M4M1Z2,M4M
78025,DOUBLE DRAGON RESTAURANT,02-11-09,2009,M5V2L7,M5V
78026,SELECT SANDWICH,28-02-11,2011,M3B3P6,M3B
78027,FORTUNE DYNASTY CHINESE SEAFOOD RESTAURANT,28-02-11,2011,M1S4N6,M1S
78028,PIZZA PIZZA RESTAURANT (24),28-02-11,2011,M1K1C6,M1K
78029,WINSTON'S DOG HOUSE,25-05-11,2011,M4R1B2,M4R
78030,THE SWAN & FIRKIN,20-04-04,2004,M6S1N5,M6S
78031,SUBWAY RESTAURANT,24-01-07,2007,M5M3Z5,M5M
78032,GTA PIZZA & INDIAN CUISINE,14-05-10,2010,M9W4W6,M9W
78033,JIMMY THE GREEK,11-08-11,2011,M5B1Z3,M5B
78034,WHITE LOTUS VEGETARIAN CUISINE,01-03-06,2006,M6K2W5,M6K
78035,GINO'S PIZZA,02-06-06,2006,M6G1C8,M6G
78036,SANOFI PASTEUR #23051,18-12-08,2008,M2R3T4,M2R
78037,NICHE COFFEE & TEA COMPANY,01-03-10,2010,M6J1E4,M6J
78038,THE RED CABIN,01-03-11,2011,M9B1B1,M9B
78039,ELITE RESTAURANT & BANQUET HALL,12-05-11,2011,M3J3J4,M3J
78040,NEW BAAN THAI RESTAURANT,13-07-11,2011,M6P1Z2,M6P
78041,ARAX SHAWARMA,08-12-11,2011,M4L1H3,M4L
78042,IRINAS CAFETERIA,29-11-04,2004,M4A1J6,M4A
78043,YOGEN FRUZ,03-03-10,2010,M4P1E4,M4P
78044,COCO ROGUE,03-03-11,2011,M4S2A4,M4S
78045,PRECIOUS KITCHEN,20-07-11,2011,M1V4W9,M1V
78046,RENFORTH FISH & CHIPS,04-05-06,2006,M9C2N2,M9C
78047,THE GOLDEN GRIDDLE,04-03-08,2008,M1B3C6,M1B
78048,ROYAL MIMICO PUB AND GRILL,09-01-09,2009,M8Y2R1,M8Y
78049,THE LOOP TAP AND LOUNGE,04-03-11,2011,M4E1S8,M4E
78050,YVONNE'S COFFEE HAUS,04-03-11,2011,M1C2P5,M1C
78051,TASTY KABOB HOUSE,10-05-12,2012,M6E2H5,M6E
78052,HOOPS SPORTS BAR & GRILL,13/04/00,2000,M4Y1W9,M4Y
78053,HOME DINERS EXPRESS,26-08-04,2004,M9W4J4,M9W
78054,INTERLUDE,05-03-09,2009,M1N1V3,M1N
78055,PASTA CO,10-06-08,2008,M3K2A2,M3K
78056,HOT WINGS,25-03-10,2010,M5V2B6,M5V
78057,PHO PHUONG,07-04-10,2010,M6J1E8,M6J
78058,WILD WING,15-05-10,2010,M4S1K8,M4S
78059,ISLAND SUNSET RESTAURANT & LOUNGE,19-10-11,2011,M1B0A7,M1B
78060,TRIPLE THAI RESTAURANT,03-11-11,2011,M9N2R9,M9N
78061,XAM YU SEAFOOD RESTAURANT,18/01/00,2000,M5T2G3,M5T
78062,GABBY'S FOOD & FUEL LTD,07/06/00,2000,M5A1J5,M5A
78063,WENDY'S,09-01-08,2008,M1V4S7,M1V
78064,NYOOD RESTAURANT,07-03-08,2008,M6J1H9,M6J
78065,ABIA RESTAURANT & BAR,07-03-11,2011,M1P2X4,M1P
78066,LAS BRASAS RESTAURANT & BAR,14-04-11,2011,M6E1B5,M6E
78067,FRANKLY,09-04-10,2010,M4M1K8,M4M
78068,JOSIE'S SPORTS BAR & CAFE,08-03-11,2011,M3H2T4,M3H
78069,86 TEA SHOP,08-03-11,2011,M1V4S5,M1V
78070,MIX IT UP EATERY,14-06-11,2011,M5T2S8,M5T
78071,ANGEL KISS,09-03-06,2006,M3C1T2,M3C
78072,MIKE'S MUNCHIES,10/03/78,1978,M6B3A6,M6B
78073,THE AIRPORT'S EASY OVER,10-03-10,2010,M9W6H3,M9W
78074,YORKVILLE COURTYARD,10-03-10,2010,M5R1C4,M5R
78075,PIZZAIOLO,10-03-11,2011,M6S1P7,M6S
78076,CHRISTOPHER'S DELI,01-01-02,2002,M8V1C4,M8V
78077,JAMES JOYCE IRISH PUB & RESTAURANTS,11-03-09,2009,M5S1X4,M5S
78078,ROYAL FISH & CHIPS & BURGER,11-03-10,2010,M6H1N8,M6H
78079,REYHAN,01-11-10,2010,M2N5S1,M2N
78080,THE SECOND CUP,16-12-10,2010,M5S1W5,M5S
78081,PHO SURE VIETHAI CUISINE,18-03-11,2011,M1V4W9,M1V
78082,RISTORANTE FIVE61,24-03-11,2011,M4V2J8,M4V
78083,COUNTRY STYLE,19-05-11,2011,M2R2A5,M2R
78084,ON THE GO MUNCHIES,09-12-11,2011,M3J2J1,M3J
78085,NOODLE,12-03-04,2004,M2N6L8,M2N
78086,ALEXANDRIA CA,06-06-08,2008,M1R2Y7,M1R
78087,LAZEEZ,31-03-10,2010,M4C1J8,M4C
78088,CINNAMON GIRLS CATERING,12-03-10,2010,M6J1J5,M6J
78089,BOSTON PIZZA,12-03-10,2010,M1B3C3,M1B
78090,ALI BABA'S MIDDLE EASTERN CUISINE,22-06-10,2010,M4Y1G1,M4Y
78091,PIZZA HUT,22-08-06,2006,M4K3T5,M4K
78092,THE SECOND CUP,19-11-07,2007,M4Y2B7,M4Y
78093,COFFEE TIME DONUTS,13-03-09,2009,M4X1P7,M4X
78094,PHO MY GIA PHUNG RESTAURANT,05-03-10,2010,M4M1Y3,M4M
78095,THE RED MOOSE BAR AND GRILL,09-05-11,2011,M4L1H5,M4L
78096,241 PIZZA,29-06-11,2011,M5B1E2,M5B
78097,ALI BABA'S JORDANIAN FOOD RESTAURANT,20-09-11,2011,M5S1Y6,M5S
78098,241 PIZZA,13-06-12,2012,M5B1E2,M5B
78099,RURAL RESTAURANT,16-01-02,2002,M1S2C1,M1S
78100,VIMPY DINERS,27-05-11,2011,L6S3J2,L6S
78101,,01/01/70,1970,M6P1V5,M6P
78102,,25-07-06,2006,M3C3L7,M3C
78103,MADE IN JAPAN TERIYAKI,06-10-06,2006,M3J3N3,M3J
78104,TEA SHOP 168,06-02-08,2008,M5B1S1,M5B
78105,JIN,15-03-11,2011,M4T1W5,M4T
78106,ROLO'S BAR & GRILL,15-03-11,2011,M6M4P7,M6M
78107,BROADVIEW CAFE,30-05-11,2011,M4K3Z1,M4K
78108,SAIGON GOURMET RESTAURANT,21-02-12,2012,M6G1Z4,M6G
78109,SUSHI 2GO,16-03-07,2007,M8Z1N7,M8Z
78110,TAN BEN THANH,16-03-09,2009,M9M2E7,M9M
78111,TASTY'S TAKE OUT,16-03-10,2010,M5G1G7,M5G
78112,SELECT SANDWICH,16-03-10,2010,M4T2V7,M4T
78113,BLUEBERRY BOULEVARD,17-03-11,2011,M4M1Z5,M4M
78114,NOT MY DOG,17-03-11,2011,M6R1A4,M6R
78115,BEST BREAKFAST PLACE,14-06-07,2007,M5A3A2,M5A
78116,M&B YUMMY CAKES & DESSERTS CAFE,18-03-08,2008,M6K1L5,M6K
78117,LE CORNER,30-08-10,2010,M6J1V2,M6J
78118,MILLER HOSPITALITY SERVICES,18-03-11,2011,M3A3P9,M3A
78119,GUILDWOOD PIZZA & BURGERS,19-03-02,2002,M1E1K7,M1E
78120,PHO NHO,16-02-06,2006,M6R1W9,M6R
78121,TIMOTHY'S WORLD COFFEE,17-03-11,2011,M4P2J1,M4P
78122,MR SUB,20-03-08,2008,M3J2C9,M3J
78123,TRUE OASIS RESTAURANT & BANQUET,10-02-09,2009,M3J2C7,M3J
78124,HALAL PIZZA & CHICKEN WINGS,22-04-09,2009,M1P4Y4,M1P
78125,VIVA CHINESE FAST FOOD,11-04-01,2001,M4H1C4,M4H
78126,PHO HUONG,25-11-08,2008,M6P2R1,M6P
78127,PICOLLO RESTORANTE,21-03-11,2011,M4V1C8,M4V
78128,SIP A CUP,17-01-12,2012,M1B5M5,M1B
78129,IL FORNELLO,22-03-07,2007,M4T2S9,M4T
78130,NOBLE SEAFOOD RESTAURANT,05-05-08,2008,M5T1H3,M5T
78131,GRILL IT UP (BAY ADELAIDE),22-03-10,2010,M5H2R2,M5H
78132,NACO GALLERY CAFE,23-03-09,2009,M6K1V2,M6K
78133,NANCY'S BAR & GRILL,24/03/00,2000,M6M4P7,M6M
78134,JA YU GONG GAN KARAOKE,10-06-05,2005,M6G1L5,M6G
78135,YU YUMMY KITCHEN,01-10-08,2008,M1V5L6,M1V
78136,CANTONESE DELIGHT,16-08-10,2010,M1R2Y3,M1R
78137,MATSU JAPANESE + THAI,25-03-11,2011,M3B1Y6,M3B
78138,MR RIGHT PIZZA,25-03-11,2011,M6J1T9,M6J
78139,EAST AFRICAN RESTAURANT AND BAR,25-03-11,2011,M6E2J9,M6E
78140,MADE IN JAPAN,21/06/90,1990,M6A2T9,M6A
78141,QUIZNO'S,23-04-07,2007,M3B1X8,M3B
78142,CAFFE DEMETRE,08-04-08,2008,M4K1P3,M4K
78143,TREATS,16-10-09,2009,M4Y1N1,M4Y
78144,YUN LIN RESTAURANT,21-05-10,2010,M1V0C4,M1V
78145,TONY'S SPORTS BAR,20-01-12,2012,M6E2Y3,M6E
78146,MOONRISE CARIBBEAN RESTAURANT TAKEOUT,28-03-11,2011,M1L1C8,M1L
78147,COUNTRY STYLE,28-03-11,2011,M1L0E6,M1L
78148,,15/01/79,1979,M9N2V3,M9N
78149,HELLO! WONTON NOODLE,11-07-06,2006,M2N5R4,M2N
78150,,29-03-07,2007,M6A3B2,M6A
78151,JUGO JUICE INTERNATIONAL INC.,16-06-08,2008,M5B1R7,M5B
78152,MARJANE CAFE & DECOR,29-03-10,2010,M5R2K9,M5R
78153,PIZZAIOLO RESTAURANTS,29-03-10,2010,M4Y2C5,M4Y
78154,INFINITI CAFE,07-07-10,2010,M2J3C1,M2J
78155,SUBWAY,27-08-10,2010,M8Z6A4,M8Z
78156,BOMBAY CHOPSTICKS,21-07-11,2011,M9V1B4,M9V
78157,COLLEGE STREET KEBOB,18-11-11,2011,M5T1S7,M5T
78158,DELIXO' WINGS & PIZZA,30-03-11,2011,M6G1C6,M6G
78159,MI PHO NHA TRANG,31-03-10,2010,M3M1H7,M3M
78160,FETA & OLIVES,31-03-10,2010,M5X1A9,M5X
78161,LE GOLDEN HOST RESTAURANT,31-03-11,2011,M1P3G5,M1P
78162,TASTE GOOD B.B.Q.,31-03-11,2011,M1S4T6,M1S
78163,AMIGO SEAFOOD & STEAK HOUSE,31-03-11,2011,M1V5N1,M1V
78164,THE JERK SPOT,31-03-11,2011,M5V1N4,M5V
78165,HAMDI RESTAURANT,01-04-05,2005,M5A2K7,M5A
78166,PITA PIT,01-04-10,2010,M5T1R4,M5T
78167,PEOPLE'S FOODS,11-07-05,2005,M5R2E6,M5R
78168,TERIYAKI EXPERIENCE,02-04-08,2008,M5B2G4,M5B
78169,MOE'S SOUTHWEST GRILL,02-04-09,2009,M4P1A1,M4P
78170,TIMOTHY'S WORLD COFFEE,11-05-10,2010,M5S1Y9,M5S
78171,COFFEE TIME DONUTS,18/04/00,2000,M6G1C8,M6G
78172,KING'S TABLE,03-04-06,2006,M4E1G2,M4E
78173,HONG KONG GOURMET,03-04-09,2009,M9C2N2,M9C
78174,ADELAIDE ST PUB,03-04-09,2009,M5V1R4,M5V
78175,COOL RUNNINGS RESTAURANT,14-04-09,2009,M4C1L7,M4C
78176,PANZEROTTO PIZZA,11-06-09,2009,M8V1M4,M8V
78177,GO FOR SZECHUAN,02-05-11,2011,M3N2Z4,M3N
78178,LICK'S ICE CREAM & BURGER SHOP,26-08-11,2011,M8Z1T8,M8Z
78179,GREEN BAMBOO RESTAURANT,29-08-11,2011,M1S5H5,M1S
78180,CAFE MIRAGE,06-06-12,2012,M1P5B7,M1P
78181,CAFE MIRAGE,06-06-12,2012,M2N5X2,M2N
78182,LUCKY LIN'S RESTAURANT,26-06-08,2008,M1J3C2,M1J
78183,WOO RESTAURANT & LOUNGE,24-04-09,2009,M5B2G9,M5B
78184,SOUTH ST. BURGER CO,11-02-11,2011,M3C3R6,M3C
78185,KANMAK FOOD INC,14-03-11,2011,M6C1A5,M6C
78186,YULLA ENTERPRISE,04-04-11,2011,M5H3W4,M5H
78187,LUCKY STAR RESTAURANT,09-02-12,2012,M9V5G6,M9V
78188,QUIZNOS SUB,05-04-11,2011,M9W1P1,M9W
78189,AME,06-04-10,2010,M5V1H2,M5V
78190,OBIKA MOZZARELLA BAR,06-04-11,2011,M5J2T3,M5J
78191,THE ACME BURGER COMPANY,07-04-11,2011,M4Y1G7,M4Y
78192,YUEH TUNG RESTAURANT,08/04/99,1999,M5G1P5,M5G
78193,MUCH BURRITO,08-04-10,2010,M5X1E5,M5X
78194,NOODLEHOLIC,18-06-10,2010,M6R1X3,M6R
78195,TANDOORI TOWN,14-03-12,2012,M1S3A7,M1S
78196,COMPASS GROUP CANADA,29-06-12,2012,M1L4N7,M1L
78197,TIM HORTONS,09/04/98,1998,M1L2K1,M1L
78198,NEW VEERAR TAKEOUT & CATERING,15-05-08,2008,M1B5J6,M1B
78199,LITTLE BIT OF FUN PUB & GRILL,19-04-11,2011,M8V1J5,M8V
78200,BANH CUON THANH TRUC,09-06-11,2011,M6N1L2,M6N
78201,TASTY PIZZA & MORE,11/08/93,1993,M3N2X7,M3N
78202,MANCHU WOK,10/04/92,1992,M4W3E2,M4W
78203,TEN FEET TALL,10-04-08,2008,M4J1N2,M4J
78204,COSTA VERDE BBQ CHICKEN,03-06-08,2008,M6M1T2,M6M
78205,JALANDHAR MEAT SHOP & TANDOORI,09-10-09,2009,M1V5J6,M1V
78206,J & T CAFE,05-08-10,2010,M2M4B3,M2M
78207,ASAHI SUSHI SUMMERHILL,14-02-11,2011,M4V1G3,M4V
78208,THE WEST MALL DONUTS & DELI,30-03-01,2001,M9C1C6,M9C
78209,KUBATA,11-06-04,2004,M6H1A5,M6H
78210,BASKIN ROBBINS,11-04-08,2008,M6G4A1,M6G
78211,CUCINA MANILA,02-05-08,2008,M1R2Y4,M1R
78212,MAZZ RESTAURANT,02-09-09,2009,M6H1M1,M6H
78213,SECOND CUP,16-03-12,2012,M5V2W6,M5V
78214,TACO VILLA,06/07/98,1998,M6A2T9,M6A
78215,751 BISTRO,20-07-11,2011,M6J1G1,M6J
78216,PRANA COFFEE,12-04-10,2010,M4E1E3,M4E
78217,KEEP FIT SANDWICHES,30-12-11,2011,M5T3K1,M5T
78218,TRATTORIA DA GIANFRANCO,13-04-10,2010,M9W6V8,M9W
78219,TENSHI TERIYAKI,13-04-10,2010,M5T1R4,M5T
78220,POPEYES,13-04-11,2011,M1H3B6,M1H
78221,DOUBLE DOUBLE PIZZA AND CHICKEN,15-04-04,2004,M3A2J8,M3A
78222,ALI BABA'S MIDDLE EASTERN CUISINE,03-06-08,2008,M6H1N7,M6H
78223,PEARL CITY RESTAURANT,23-12-11,2011,M2N5M1,M2N
78224,FOUR ACES SNACK BAR,22/05/91,1991,M6K1T9,M6K
78225,SOUP IT UP,16-04-02,2002,M5L1G7,M5L
78226,THE KABOB HOUSE,21-03-12,2012,M8V1J8,M8V
78227,THE FISH PALACE,05/07/94,1994,M6M4R8,M6M
78228,EST WEST,11-08-06,2006,M5G1X6,M5G
78229,STAMPEDE BISON GRILL,27-05-08,2008,M6K2K6,M6K
78230,SAKE SUSHI & BAR,25-08-08,2008,M6G1L5,M6G
78231,PLEASANTVIEW JR HIGH SCHOOL #21264,18-12-08,2008,M2J3Y8,M2J
78232,HIGHLAND JR HIGH SCHOOL #21253,18-12-08,2008,M2H3B5,M2H
78233,FISHERVILLE JR HIGH #21251,18-12-08,2008,M2R2N1,M2R
78234,DON VALLEY JR HIGH SCHOOL #21247,18-12-08,2008,M2J3C3,M2J
78235,DAVID AND MARY THOMPSON HIGH #21291,18-12-08,2008,M1P2S7,M1P
78236,MILNE VALLEY MIDDLE SCHOOL #21265,18-12-08,2008,M3A2J9,M3A
78237,MAYBLE'S RESTAURANT & BAR,17-04-09,2009,M6E2G8,M6E
78238,KAYUMANGGI,23-06-10,2010,M1T3K4,M1T
78239,CHILANGOTACO,26-04-11,2011,M9L1Y8,M9L
78240,POPEYES,07-05-08,2008,M9W3W6,M9W
78241,SHAWARMA FLAMES,18-04-11,2011,M6G1M2,M6G
78242,SPICY NOODLE,02-03-12,2012,M1T3K2,M1T
78243,THAI WOK,12/05/99,1999,M4C4E5,M4C
78244,BRASS TAPS PIZZA PUB,13/06/00,2000,M6H1A4,M6H
78245,CAFE JOLLY,19-04-10,2010,M6K3H6,M6K
78246,BAHAR RESTAURANT,01-02-11,2011,M1R5A8,M1R
78247,THE GOURMET BUN,19-04-11,2011,M5A1V2,M5A
78248,BENTO NOUVEAU,19-04-11,2011,M5K1A1,M5K
78249,P.F CHANG'S,28-07-12,2012,M3C3R6,M3C
78250,SIT IN BANGKOK,25-08-08,2008,M6G1C2,M6G
78251,J&M TROPICAL,20-04-10,2010,M1V1V2,M1V
78252,SACRED SIP,20-04-11,2011,M5A1T1,M5A
78253,DON VINCENZO CATERING,21-04-09,2009,M4N2L5,M4N
78254,JUGO JUICE,21-04-10,2010,M2J5A7,M2J
78255,JOKER,21-04-11,2011,M6G1L2,M6G
78256,LANSING CAFE,22-04-04,2004,M2J4P8,M2J
78257,CAFE ON THE GO,15-07-05,2005,M5R3G2,M5R
78258,THE RED HOUSE,22-04-09,2009,M9N2S4,M9N
78259,MEXICANO GRILL,22-04-10,2010,M6E1C5,M6E
78260,PLAY ON CHURCH STREET,08-05-03,2003,M4Y2C8,M4Y
78261,BUA THAI CUISINE,09-05-06,2006,M8Z1M8,M8Z
78262,YUM YUM RESTAURANT,11-06-07,2007,M9N1V8,M9N
78263,MAYE RESTAURANT,15-04-11,2011,M9N1T3,M9N
78264,RAM'S ROTI SHOP AND RESTAURANT,24-05-07,2007,M9V1C2,M9V
78265,OMNI 2 JEWELS & JAVA,03-06-08,2008,M6B3A4,M6B
78266,SUBWAY #16555,03-06-08,2008,M9N3X2,M9N
78267,ZUCCA TRATTORIA,13-06-08,2008,M4S2A8,M4S
78268,GARLIC PEPPER SZECHUAN CUISINE,10-05-10,2010,M4Y1Z3,M4Y
78269,QUEENSWAY DINER,01-09-10,2010,M8Z1T8,M8Z
78270,SWEET ROSIE'S,17-01-07,2007,M2J5A9,M2J
78271,TIMOTHY'S WORLD COFFEE,30-06-08,2008,M5B2L6,M5B
78272,WRAP & GRAB,10-08-09,2009,M5G1C7,M5G
78273,MAKKAH RESTAURANT,07/09/94,1994,M4J1M2,M4J
78274,DUTCH MASTER DONUTS,26-04-07,2007,M3C1T2,M3C
78275,FLEMINGDON PIZZA,26-04-07,2007,M3C1T2,M3C
78276,PORTUCALE RESTAURANT INC,12-08-10,2010,M6C1B6,M6C
78277,WINCHESTER KITCHEN & BAR,26-04-11,2011,M4X1P3,M4X
78278,BLUE MOUNTAIN COFFEE & RESTAURANT,02-05-11,2011,M5T1L9,M5T
78279,PIZZA 2 GO,27-04-09,2009,M5J1E6,M5J
78280,PERFECT CUP,25-08-06,2006,M3N3A1,M3N
78281,VILLAGE SCOOP,29-04-09,2009,M6C2X6,M6C
78282,ARAFAT HALAL PIZZA RESTAURANT AND BAKERY,12-10-11,2011,M1P2S2,M1P
78283,PIZZA HUB,01-03-12,2012,M9L2K8,M9L
78284,SHAMSHAD KEBOB HOUSE,03-05-12,2012,M1K2B2,M1K
78285,MIRAGE CAFE,30-04-09,2009,M4P1H4,M4P
78286,D-ONE,03-08-10,2010,M4J1M9,M4J
78287,WENDY'S,05/05/00,2000,M1T1A1,M1T
78288,ICHIBAN JAPANESE SUSHI,20-09-02,2002,M5J1B5,M5J
78289,THE TOY SPACE,01-05-06,2006,M5V3N7,M5V
78290,BLUE MOON PUB,17-07-07,2007,M4M1H1,M4M
78291,ROSEMARY & THYME TEA ROOM,05-12-07,2007,M1N1R9,M1N
78292,GOLDEN STAR THAI & VIETNAMESE CUISINE,01-05-08,2008,M9N2S4,M9N
78293,JOY & OVERJOY,06-06-08,2008,M4M1J3,M4M
78294,NEW YORK FRIED CHICKEN,01-05-09,2009,M3N3A1,M3N
78295,BAR10DER,01-05-09,2009,M4J2T9,M4J
78296,PIZZA PLUS,16-09-10,2010,M4E2V8,M4E
78297,COCO LEZZONE,24-03-11,2011,M6G1B4,M6G
78298,GASA RESTAURANT,08-06-11,2011,M1V1T1,M1V
78299,,17/02/84,1984,M5H1Z4,M5H
78300,ENJOY GARDEN RESTAURANT,02/05/95,1995,M4J2N5,M4J
